acer,P205H
compaq,W220Q
dell,3008WFP
dell,D2421H
dell,E1910H
dell,E1913S
dell,E1914H
dell,E1920H
dell,E2011H
dell,E2011HC
dell,E2214H
dell,E2215HV
dell,E2216HV
dell,E2220H
dell,E2222H
dell,E2222HS
dell,E2316H
dell,E2416H
dell,E2420H
dell,E2423H
dell,P2719H
dell,S2421NX
dell,U2718Q
hp,27XI
hp,HP W2082A
hp,L1750
hp,LV2311
hp,P19A
hp,P202
hp,P204
hp,P22V G4
hp,P22VA G4
hp,P24V G4
hp,V194
hp,V223
hp,V270
hp,Z22N G2
I-inc,IP193
lenovo,62C6KAT1US
lenovo,E2224A
lenovo,L24I-20
lenovo,P24Q-10
lenovo,S22E-19
noc,E2023F
other,LAPTOP
planar,PLL2410W
samsung,C32R50X
viewsonic,VA2456 100HZ
viewsonic,VS17295
viewsonic,VX3216
